movieId,title,genres,rating,genre
151769,Three from Prostokvashino (1978),Animation,5.0,Animation
170597,A Plasticine Crow (1981),Animation,5.0,Animation
146662,Dragons: Gift of the Night Fury (2011),Adventure|Animation|Comedy,5.0,Animation
126088,A Flintstones Christmas Carol (1994),Animation|Children|Comedy,5.0,Animation
146684,Cosmic Scrat-tastrophe (2015),Animation|Children|Comedy,5.0,Animation
4454,More (1998),Animation|Drama|Sci-Fi|IMAX,5.0,Animation
156025,Ice Age: The Great Egg-Scapade (2016),Adventure|Animation|Children|Comedy,5.0,Animation
157775,Tenchi Muyô! In Love (1996),Animation|Comedy,5.0,Animation
124404,"Snowflake, the White Gorilla (2011)",Adventure|Animation|Children|Comedy,5.0,Animation
159811,The Bremen Town Musicians (1969),Animation|Drama|Fantasy,5.0,Animation
96608,Runaway Brain (1995) ,Animation|Comedy|Sci-Fi,5.0,Animation
163072,Winnie Pooh (1969),Animation|Children,5.0,Animation
163112,Winnie the Pooh Goes Visiting (1971),Animation,5.0,Animation
121781,Stuart Little 3: Call of the Wild (2005),Animation|Children|Comedy|Fantasy,5.0,Animation
163386,Winnie the Pooh and the Day of Concern (1972),Animation,5.0,Animation
163925,"Wings, Legs and Tails (1986)",Animation|Comedy,5.0,Animation
165959,Alesha Popovich and Tugarin the Dragon (2004),Animation|Comedy|Drama,5.0,Animation
72692,Mickey's Once Upon a Christmas (1999),Animation|Comedy|Fantasy,5.0,Animation
166183,Junior and Karlson (1968),Adventure|Animation|Children,5.0,Animation
95149,Superman/Batman: Public Enemies (2009),Action|Animation|Fantasy,5.0,Animation
movieId,title,genres,rating,genre
147326,The Adventures of Sherlock Holmes and Doctor Watson: King of Blackmailers (1980),Crime|Mystery,5.0,Mystery
142444,The Editor (2015),Comedy|Horror|Mystery,5.0,Mystery
112512,Colourful (Karafuru) (2010),Animation|Drama|Fantasy|Mystery,5.0,Mystery
147300,Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),Crime|Mystery,5.0,Mystery
118894,Scooby-Doo! Abracadabra-Doo (2010),Animation|Children|Mystery,5.0,Mystery
76091,Mother (Madeo) (2009),Crime|Drama|Mystery|Thriller,5.0,Mystery
120138,PK (2014),Comedy|Drama|Fantasy|Mystery|Romance,5.0,Mystery
79897,Get Low (2009),Comedy|Drama|Mystery,5.0,Mystery
5746,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi,5.0,Mystery
96832,Holy Motors (2012),Drama|Fantasy|Musical|Mystery|Sci-Fi,5.0,Mystery
6021,"American Friend, The (Amerikanische Freund, Der) (1977)",Crime|Drama|Mystery|Thriller,5.0,Mystery
27751,'Salem's Lot (2004),Drama|Horror|Mystery|Thriller,5.0,Mystery
85295,Scooby-Doo! Curse of the Lake Monster (2010),Adventure|Children|Comedy|Mystery,5.0,Mystery
147286,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),Crime|Mystery,5.0,Mystery
42556,7 Faces of Dr. Lao (1964),Fantasy|Mystery|Western,5.0,Mystery
30745,Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),Comedy|Crime|Drama|Horror|Mystery,4.75,Mystery
174053,Black Mirror: White Christmas (2014),Drama|Horror|Mystery|Sci-Fi|Thriller,4.75,Mystery
74727,Gentlemen of Fortune (Dzhentlmeny udachi) (1972),Comedy|Crime|Drama|Mystery,4.75,Mystery
31364,Memories of Murder (Salinui chueok) (2003),Crime|Drama|Mystery|Thriller,4.7,Mystery
121469,Killer Movie (2008),Comedy|Horror|Mystery|Thriller,4.5,Mystery
movieId,title,genres,rating,genre
25906,Mr. Skeffington (1944),Drama|Romance,5.0,Romance
113829,"One I Love, The (2014)",Comedy|Drama|Romance,5.0,Romance
114265,Laggies (2014),Comedy|Romance,5.0,Romance
124851,Delirium (2014),Adventure|Romance|Sci-Fi,5.0,Romance
67618,Strictly Sexual (2008),Comedy|Drama|Romance,5.0,Romance
26147,"Thousand Clowns, A (1965)",Comedy|Drama|Romance,5.0,Romance
26928,"Summer's Tale, A (Conte d'été) (1996)",Comedy|Drama|Romance,5.0,Romance
8911,Raise Your Voice (2004),Romance,5.0,Romance
6192,Open Hearts (Elsker dig for evigt) (2002),Romance,5.0,Romance
3531,All the Vermeers in New York (1990),Comedy|Drama|Romance,5.0,Romance
149566,Unicorn City (2012),Comedy|Romance,5.0,Romance
3567,Bossa Nova (2000),Comedy|Drama|Romance,5.0,Romance
6201,Lady Jane (1986),Drama|Romance,5.0,Romance
149508,Spellbound (2011),Comedy|Romance,5.0,Romance
6983,Jane Eyre (1944),Drama|Romance,5.0,Romance
147196,The Girls (1961),Comedy|Romance,5.0,Romance
158882,All Yours (2016),Comedy|Drama|Romance,5.0,Romance
60737,Watching the Detectives (2007),Comedy|Romance,5.0,Romance
3792,Duel in the Sun (1946),Drama|Romance|Western,5.0,Romance
4495,Crossing Delancey (1988),Comedy|Romance,5.0,Romance
movieId,title,genres,rating,genre
4298,Rififi (Du rififi chez les hommes) (1955),Crime|Film-Noir|Thriller,4.75,Film-Noir
2511,"Long Goodbye, The (1973)",Crime|Film-Noir,4.666666666666667,Film-Noir
48872,13 Tzameti (2005),Film-Noir|Thriller,4.5,Film-Noir
6515,You Only Live Once (1937),Crime|Film-Noir,4.5,Film-Noir
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,4.333333333333333,Film-Noir
942,Laura (1944),Crime|Film-Noir|Mystery,4.333333333333333,Film-Noir
3435,Double Indemnity (1944),Crime|Drama|Film-Noir,4.323529411764706,Film-Noir
1248,Touch of Evil (1958),Crime|Film-Noir|Thriller,4.264705882352941,Film-Noir
930,Notorious (1946),Film-Noir|Romance|Thriller,4.25,Film-Noir
1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,4.229166666666667,Film-Noir
1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller,4.225,Film-Noir
1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,4.211864406779661,Film-Noir
3334,Key Largo (1948),Crime|Drama|Film-Noir|Thriller,4.2,Film-Noir
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,4.170454545454546,Film-Noir
7216,High Sierra (1941),Crime|Drama|Film-Noir|Thriller,4.166666666666667,Film-Noir
1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery,4.142857142857143,Film-Noir
4432,Sweet Smell of Success (1957),Drama|Film-Noir,4.125,Film-Noir
2066,Out of the Past (1947),Film-Noir,4.125,Film-Noir
1617,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,4.061855670103093,Film-Noir
2726,"Killing, The (1956)",Crime|Film-Noir,4.055555555555555,Film-Noir
movieId,title,genres,rating,genre
143559,L.A. Slasher (2015),Comedy|Crime|Fantasy,5.0,Crime
107951,Hunting Elephants (2013),Comedy|Crime,5.0,Crime
147286,The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983),Crime|Mystery,5.0,Crime
138632,Tokyo Tribe (2014),Action|Crime|Drama|Sci-Fi,5.0,Crime
136850,Villain (1971),Crime|Drama|Thriller,5.0,Crime
