140,Dune (2000),4.8867483
140,Woman in the Dunes (Suna no onna) (1964),4.8319626
140,Come and See (Idi i smotri) (1985),4.792589
140,Belle époque (1992),4.784683
140,"Holy Mountain, The (Montaña sagrada, La) (1973)",4.781829
140,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.7767477
140,"World of Apu, The (Apur Sansar) (1959)",4.761283
140,Bad Boy Bubby (1993),4.7553654
140,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.732417
140,Alien Contamination (1980),4.711215
140,The Love Bug (1997),4.675866
140,Sanjuro (Tsubaki Sanjûrô) (1962),4.671832
140,Heidi Fleiss: Hollywood Madam (1995),4.6692753
140,Palindromes (2004),4.6609726
140,Game of Death (1978),4.653487
140,Captain Fantastic (2016),4.651435
140,"Wild Parrots of Telegraph Hill, The (2003)",4.636943
140,Rififi (Du rififi chez les hommes) (1955),4.6289463
140,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),4.6272554
140,"Best of Youth, The (La meglio gioventù) (2003)",4.6166077
140,"Long Goodbye, The (1973)",4.614025
140,The Big Bus (1976),4.6122036
140,Guy X (2005),4.60423
140,Ghost in the Shell 2.0 (2008),4.603963
140,Ponette (1996),4.6034346
140,"Stunt Man, The (1980)",4.6028023
140,"Trial, The (Procès, Le) (1962)",4.5991373
140,Crossing Delancey (1988),4.5943575
140,Who Killed Chea Vichea? (2010),4.5811663
140,L.A. Slasher (2015),4.5758247
156,Dune (2000),4.894437
156,Woman in the Dunes (Suna no onna) (1964),4.839651
156,Come and See (Idi i smotri) (1985),4.8002777
156,Belle époque (1992),4.792371
156,"Holy Mountain, The (Montaña sagrada, La) (1973)",4.7895164
156,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.784436
156,"World of Apu, The (Apur Sansar) (1959)",4.7689714
156,Bad Boy Bubby (1993),4.763054
156,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.7401056
156,Alien Contamination (1980),4.7189035
156,The Love Bug (1997),4.6835537
156,Sanjuro (Tsubaki Sanjûrô) (1962),4.6795197
156,Heidi Fleiss: Hollywood Madam (1995),4.676963
156,Palindromes (2004),4.66866
156,Game of Death (1978),4.6611757
156,Captain Fantastic (2016),4.6591234
156,"Wild Parrots of Telegraph Hill, The (2003)",4.6446314
156,Rififi (Du rififi chez les hommes) (1955),4.636634
156,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),4.634944
156,"Best of Youth, The (La meglio gioventù) (2003)",4.624296
156,"Long Goodbye, The (1973)",4.6217127
156,The Big Bus (1976),4.619892
156,Guy X (2005),4.6119175
156,Ghost in the Shell 2.0 (2008),4.6116505
156,Ponette (1996),4.611123
156,"Stunt Man, The (1980)",4.610491
156,"Trial, The (Procès, Le) (1962)",4.606825
156,Crossing Delancey (1988),4.602045
156,Who Killed Chea Vichea? (2010),4.588855
156,L.A. Slasher (2015),4.5835133
380,Dune (2000),5.0
380,Woman in the Dunes (Suna no onna) (1964),5.0
380,Come and See (Idi i smotri) (1985),5.0
380,Belle époque (1992),5.0
380,"Holy Mountain, The (Montaña sagrada, La) (1973)",5.0
380,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",5.0
380,"World of Apu, The (Apur Sansar) (1959)",5.0
380,Bad Boy Bubby (1993),5.0
380,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),5.0
380,Alien Contamination (1980),5.0
380,The Love Bug (1997),5.0
380,Sanjuro (Tsubaki Sanjûrô) (1962),5.0
380,Heidi Fleiss: Hollywood Madam (1995),5.0
380,Palindromes (2004),5.0
380,Game of Death (1978),5.0
380,Captain Fantastic (2016),5.0
380,"Wild Parrots of Telegraph Hill, The (2003)",5.0
380,Rififi (Du rififi chez les hommes) (1955),5.0
380,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),5.0
380,"Best of Youth, The (La meglio gioventù) (2003)",5.0
380,"Long Goodbye, The (1973)",5.0
380,The Big Bus (1976),5.0
380,Guy X (2005),5.0
380,Ghost in the Shell 2.0 (2008),5.0
380,Ponette (1996),5.0
380,"Stunt Man, The (1980)",5.0
380,"Trial, The (Procès, Le) (1962)",5.0
380,Crossing Delancey (1988),4.997138
380,Who Killed Chea Vichea? (2010),4.983947
380,L.A. Slasher (2015),4.9786053
495,Dune (2000),5.0
495,Woman in the Dunes (Suna no onna) (1964),5.0
495,Come and See (Idi i smotri) (1985),5.0
495,Belle époque (1992),5.0
495,"Holy Mountain, The (Montaña sagrada, La) (1973)",5.0
495,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",5.0
495,"World of Apu, The (Apur Sansar) (1959)",5.0
495,Bad Boy Bubby (1993),5.0
495,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),5.0
495,Alien Contamination (1980),5.0
495,The Love Bug (1997),5.0
495,Sanjuro (Tsubaki Sanjûrô) (1962),5.0
495,Heidi Fleiss: Hollywood Madam (1995),5.0
495,Palindromes (2004),5.0
495,Game of Death (1978),5.0
495,Captain Fantastic (2016),5.0
495,"Wild Parrots of Telegraph Hill, The (2003)",5.0
495,Rififi (Du rififi chez les hommes) (1955),5.0
495,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),5.0
495,"Best of Youth, The (La meglio gioventù) (2003)",5.0
495,"Long Goodbye, The (1973)",5.0
495,The Big Bus (1976),5.0
495,Guy X (2005),5.0
495,Ghost in the Shell 2.0 (2008),5.0
495,Ponette (1996),5.0
495,"Stunt Man, The (1980)",5.0
495,"Trial, The (Procès, Le) (1962)",5.0
495,Crossing Delancey (1988),5.0
495,Who Killed Chea Vichea? (2010),5.0
495,L.A. Slasher (2015),5.0
610,Dune (2000),5.0
610,Woman in the Dunes (Suna no onna) (1964),5.0
610,Come and See (Idi i smotri) (1985),5.0
610,Belle époque (1992),5.0
610,"Holy Mountain, The (Montaña sagrada, La) (1973)",5.0
610,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",5.0
610,"World of Apu, The (Apur Sansar) (1959)",5.0
610,Bad Boy Bubby (1993),5.0
610,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),5.0
610,Alien Contamination (1980),5.0
610,The Love Bug (1997),5.0
610,Sanjuro (Tsubaki Sanjûrô) (1962),5.0
610,Heidi Fleiss: Hollywood Madam (1995),5.0
610,Palindromes (2004),5.0
610,Game of Death (1978),4.9930763
610,Captain Fantastic (2016),4.991023
610,"Wild Parrots of Telegraph Hill, The (2003)",4.976532
610,Rififi (Du rififi chez les hommes) (1955),4.9685345
610,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) (2002),4.9668436
610,"Best of Youth, The (La meglio gioventù) (2003)",4.956196
610,"Long Goodbye, The (1973)",4.9536133
610,The Big Bus (1976),4.951792
610,Guy X (2005),4.943818
610,Ghost in the Shell 2.0 (2008),4.943551
610,Ponette (1996),4.9430237
610,"Stunt Man, The (1980)",4.9423904
610,"Trial, The (Procès, Le) (1962)",4.9387245
610,Crossing Delancey (1988),4.9339457
610,Who Killed Chea Vichea? (2010),4.9207544
610,L.A. Slasher (2015),4.915413
160,Dune (2000),4.3229294
160,Woman in the Dunes (Suna no onna) (1964),4.2681437
160,Come and See (Idi i smotri) (1985),4.228771
160,Belle époque (1992),4.2208643
160,"Holy Mountain, The (Montaña sagrada, La) (1973)",4.21801
160,"Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)",4.2129297
160,"World of Apu, The (Apur Sansar) (1959)",4.197465
160,Bad Boy Bubby (1993),4.1915464
160,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),4.168599
160,Alien Contamination (1980),4.147397
160,The Love Bug (1997),4.1120467
160,Sanjuro (Tsubaki Sanjûrô) (1962),4.108012
160,Heidi Fleiss: Hollywood Madam (1995),4.1054564
160,Palindromes (2004),4.0971537
160,Game of Death (1978),4.0896683
160,Captain Fantastic (2016),4.087616
160,"Wild Parrots of Telegraph Hill, The (2003)",4.073125
160,Rififi (Du rififi chez les hommes) (1955),4.0651274
